stack,ind,Cell_Label
stack_1,008_001,1.0
stack_1,074_002,30.0
stack_1,073_005,29.0
stack_1,072_002,29.0
stack_1,071_005,25.0
stack_1,070_015,7.0
stack_1,069_012,11.0
stack_1,068_009,10.0
stack_1,067_009,16.0
stack_1,066_012,13.0
stack_1,065_015,19.0
stack_1,064_015,18.0
stack_1,063_015,19.0
stack_1,062_014,18.0
stack_1,061_016,
stack_1,060_016,13.0
stack_1,059_001,9.0
stack_1,058_012,7.0
stack_1,057_015,14.0
stack_1,056_007,12.0
stack_1,075_002,30.0
stack_1,055_012,7.0
stack_1,077_020,27.0
stack_1,079_003,29.0
stack_1,098_001,7.0
stack_1,097_032,14.0
stack_1,096_006,13.0
stack_1,095_010,19.0
stack_1,094_018,21.0
stack_1,093_011,4.0
stack_1,092_001,8.0
stack_1,091_001,14.0
stack_1,090_002,14.0
stack_1,089_004,12.0
stack_1,088_006,9.0
stack_1,087_002,9.0
stack_1,086_004,15.0
stack_1,085_001,1.0
stack_1,084_005,15.0
stack_1,083_017,12.0
stack_1,082_004,26.0
stack_1,081_002,18.0
stack_1,080_030,
stack_1,078_004,28.0
stack_1,054_011,8.0
stack_1,076_005,21.0
stack_1,052_002,13.0
stack_1,028_003,3.0
stack_1,027_009,5.0
stack_1,026_009,8.0
stack_1,025_009,6.0
stack_1,024_005,7.0
stack_1,023_008,1.0
stack_1,022_007,5.0
stack_1,021_003,4.0
stack_1,019_001,1.0
stack_1,029_005,3.0
stack_1,018_001,4.0
stack_1,016_004,5.0
stack_1,015_007,4.0
stack_1,014_003,6.0
stack_1,013_008,4.0
stack_1,012_003,5.0
stack_1,011_004,5.0
stack_1,010_001,3.0
stack_1,009_001,2.0
stack_1,053_004,7.0
stack_1,017_001,8.0
stack_1,030_005,2.0
stack_1,020_001,8.0
stack_1,031_003,2.0
stack_1,050_010,11.0
stack_1,049_003,15.0
stack_1,048_003,14.0
stack_1,047_009,11.0
stack_1,046_008,12.0
stack_1,045_004,12.0
stack_1,044_002,9.0
stack_1,043_001,11.0
stack_1,042_002,8.0
stack_1,041_005,8.0
stack_1,051_011,16.0
stack_1,039_013,10.0
stack_1,038_001,8.0
stack_1,037_010,10.0
stack_1,036_011,6.0
stack_1,035_006,9.0
stack_1,034_013,7.0
stack_1,033_002,10.0
stack_1,032_009,9.0
stack_1,040_006,7.0
stack_1,078_003,32.0
stack_1,071_012,21.0
stack_1,072_006,26.0
stack_1,073_003,23.0
stack_1,077_003,31.0
stack_1,075_006,28.0
stack_1,076_024,30.0
stack_1,070_006,6.0
stack_1,074_007,27.0
stack_1,069_021,5.0
stack_1,064_010,15.0
stack_1,067_016,21.0
stack_1,066_016,20.0
stack_1,065_016,11.0
stack_1,063_016,9.0
stack_1,062_017,16.0
stack_1,061_018,9.0
stack_1,060_016,13.0
stack_1,059_001,9.0
stack_1,058_012,7.0
stack_1,068_008,2.0
stack_1,079_014,32.0
stack_1,102_002,21.0
stack_1,081_017,24.0
stack_1,057_015,14.0
stack_1,101_014,19.0
stack_1,100_016,26.0
stack_1,099_027,25.0
stack_1,098_004,9.0
stack_1,097_009,20.0
stack_1,096_020,21.0
stack_1,095_003,23.0
stack_1,094_011,16.0
stack_1,093_006,2.0
stack_1,092_008,22.0
stack_1,091_015,28.0
stack_1,090_022,19.0
stack_1,089_017,15.0
stack_1,088_019,13.0
stack_1,087_022,10.0
stack_1,086_024,22.0
stack_1,085_024,5.0
stack_1,084_020,25.0
stack_1,083_003,10.0
stack_1,082_012,32.0
stack_1,080_001,15.0
stack_1,056_007,12.0
stack_1,035_006,9.0
stack_1,054_011,8.0
stack_1,028_003,3.0
stack_1,027_009,5.0
stack_1,026_009,8.0
stack_1,025_009,6.0
stack_1,024_005,7.0
stack_1,023_008,1.0
stack_1,022_007,5.0
stack_1,021_003,4.0
stack_1,020_001,8.0
stack_1,018_001,4.0
stack_1,017_001,8.0
stack_1,016_004,5.0
stack_1,015_007,4.0
stack_1,014_003,6.0
stack_1,013_008,4.0
stack_1,012_003,5.0
stack_1,011_004,5.0
stack_1,010_001,3.0
stack_1,009_001,2.0
stack_1,008_001,1.0
stack_1,055_012,7.0
stack_1,029_005,3.0
stack_1,030_005,2.0
stack_1,019_001,1.0
stack_1,032_009,9.0
stack_1,053_004,7.0
stack_1,031_003,2.0
stack_1,052_002,13.0
stack_1,051_011,16.0
stack_1,050_010,11.0
stack_1,049_003,15.0
stack_1,048_003,14.0
stack_1,046_008,12.0
stack_1,045_004,12.0
stack_1,044_002,9.0
stack_1,043_001,11.0
